Age,Location,Gender,Income
48,Urban,Male,954271
57,Urban,Female,71758
54,Urban,Male,5320992
53,Urban,Female,66082
41,Rural,Female,2930301
48,Urban,Male,73894
23,Rural,Male,2313939
19,Urban,Male,71070
37,Suburban,Female,5284915
45,Urban,Female,68118
28,Urban,Male,72730
21,Suburban,Male,70212
32,Urban,Male,65694
23,Urban,Male,68856
66,Urban,Male,162383
47,Urban,Male,43480
55,Urban,Female,65220
68,Urban,Male,61777
19,Suburban,Male,69144
32,Urban,Male,71662
28,Urban,Female,66134
25,Urban,Female,1988361
43,Suburban,Female,975252
68,Urban,Female,72064
62,Urban,Female,448479
61,Urban,Male,46531
22,Urban,Male,74454
23,Urban,Female,42534
43,Urban,Female,975882
21,Urban,Female,92234
36,Urban,Male,381219
37,Suburban,Female,68742
50,Urban,Male,70888
37,Urban,Male,661300
66,Urban,Male,7415979
29,Urban,Female,6418245
64,Urban,Female,70404
18,Urban,Female,43467
43,Urban,Female,70252
31,Urban,Female,73788
55,Urban,Female,4864026
54,Urban,Male,74144
28,Urban,Female,147959
53,Urban,Female,44284
30,Suburban,Male,1326637
60,Urban,Male,73312
20,Urban,Male,68848
