"Age","Location","Gender","Income","Income_Category","EuclideanCluster","ManhattanCluster","CosineCluster"
35,"Urban","Male",71180,"$50,000 to $74,999",1,1,4
43,"Urban","Female",74094,"$50,000 to $74,999",3,2,1
51,"Urban","Male",68654,"$50,000 to $74,999",1,1,1
27,"Suburban","Male",66480,"$50,000 to $74,999",3,4,2
53,"Urban","Female",66764,"$50,000 to $74,999",2,2,1
31,"Suburban","Female",71224,"$50,000 to $74,999",3,4,2
48,"Urban","Male",68174,"$50,000 to $74,999",1,1,1
32,"Suburban","Male",66704,"$50,000 to $74,999",3,4,2
31,"Urban","Female",66424,"$50,000 to $74,999",3,2,2
40,"Urban","Female",72678,"$50,000 to $74,999",3,2,1
57,"Urban","Male",53957,"$50,000 to $74,999",4,2,3
33,"Rural","Male",71576,"$50,000 to $74,999",3,3,2
62,"Suburban","Female",67830,"$50,000 to $74,999",2,4,3
64,"Rural","Female",67232,"$50,000 to $74,999",1,3,3
70,"Urban","Male",69764,"$50,000 to $74,999",1,1,1
62,"Urban","Male",69034,"$50,000 to $74,999",1,1,1
58,"Urban","Male",66248,"$50,000 to $74,999",1,1,3
46,"Urban","Male",73590,"$50,000 to $74,999",1,1,4
32,"Urban","Male",68070,"$50,000 to $74,999",3,1,4
62,"Urban","Female",67766,"$50,000 to $74,999",2,2,1
18,"Urban","Female",67192,"$50,000 to $74,999",3,2,2
42,"Suburban","Male",73634,"$50,000 to $74,999",3,4,2
24,"Urban","Male",71594,"$50,000 to $74,999",3,1,4
18,"Rural","Male",71314,"$50,000 to $74,999",3,3,2
61,"Urban","Male",71448,"$50,000 to $74,999",1,1,1
41,"Urban","Male",69570,"$50,000 to $74,999",1,1,4
28,"Urban","Female",70452,"$50,000 to $74,999",3,2,2
68,"Suburban","Female",74538,"$50,000 to $74,999",2,4,1
34,"Urban","Male",68190,"$50,000 to $74,999",3,1,4
25,"Urban","Male",65872,"$50,000 to $74,999",3,1,4
52,"Urban","Male",66008,"$50,000 to $74,999",1,1,3
50,"Urban","Female",72046,"$50,000 to $74,999",3,2,1
22,"Urban","Male",71618,"$50,000 to $74,999",3,1,4
59,"Urban","Female",68604,"$50,000 to $74,999",3,2,1
56,"Urban","Female",70880,"$50,000 to $74,999",2,2,1
45,"Urban","Female",70658,"$50,000 to $74,999",3,2,1
26,"Urban","Female",68752,"$50,000 to $74,999",3,2,2
25,"Urban","Male",71456,"$50,000 to $74,999",3,1,4
29,"Urban","Female",73072,"$50,000 to $74,999",3,2,2
51,"Urban","Male",65850,"$50,000 to $74,999",1,1,3
40,"Urban","Male",72296,"$50,000 to $74,999",1,1,4
54,"Urban","Male",67804,"$50,000 to $74,999",1,1,3
39,"Urban","Male",70090,"$50,000 to $74,999",1,1,4
31,"Urban","Female",69850,"$50,000 to $74,999",3,2,2
20,"Suburban","Male",71056,"$50,000 to $74,999",3,4,2
18,"Urban","Female",72410,"$50,000 to $74,999",3,2,2
22,"Urban","Male",66540,"$50,000 to $74,999",3,1,4
43,"Suburban","Male",71384,"$50,000 to $74,999",1,4,1
44,"Urban","Female",66088,"$50,000 to $74,999",3,2,1
26,"Urban","Female",70662,"$50,000 to $74,999",3,2,2
32,"Urban","Female",67500,"$50,000 to $74,999",3,2,2
32,"Suburban","Male",66212,"$50,000 to $74,999",3,4,2
59,"Urban","Female",66304,"$50,000 to $74,999",2,2,1
49,"Urban","Male",73012,"$50,000 to $74,999",1,1,4
56,"Urban","Male",74986,"$50,000 to $74,999",1,1,1
66,"Urban","Female",65862,"$50,000 to $74,999",2,2,1
40,"Urban","Female",66666,"$50,000 to $74,999",3,2,2
56,"Urban","Male",70646,"$50,000 to $74,999",1,1,1
62,"Suburban","Female",68156,"$50,000 to $74,999",2,4,3
46,"Suburban","Male",70288,"$50,000 to $74,999",1,4,1
53,"Urban","Female",73094,"$50,000 to $74,999",2,2,1
24,"Urban","Female",68044,"$50,000 to $74,999",3,2,2
68,"Urban","Female",66446,"$50,000 to $74,999",2,2,1
45,"Suburban","Female",73182,"$50,000 to $74,999",2,4,1
59,"Urban","Female",71990,"$50,000 to $74,999",2,2,1
62,"Suburban","Female",71790,"$50,000 to $74,999",2,4,1
70,"Suburban","Female",68046,"$50,000 to $74,999",2,4,3
45,"Suburban","Female",70500,"$50,000 to $74,999",3,4,2
61,"Urban","Female",71280,"$50,000 to $74,999",2,2,1
61,"Suburban","Male",70670,"$50,000 to $74,999",1,4,3
37,"Rural","Male",74132,"$50,000 to $74,999",1,3,2
47,"Urban","Male",65958,"$50,000 to $74,999",1,1,4
42,"Suburban","Male",73496,"$50,000 to $74,999",3,4,2
50,"Urban","Female",65756,"$50,000 to $74,999",2,2,1
44,"Suburban","Male",66922,"$50,000 to $74,999",1,4,3
30,"Suburban","Male",71024,"$50,000 to $74,999",3,4,2
58,"Urban","Female",67218,"$50,000 to $74,999",2,2,1
56,"Suburban","Female",72898,"$50,000 to $74,999",2,4,1
23,"Urban","Female",65944,"$50,000 to $74,999",3,2,2
25,"Rural","Female",67278,"$50,000 to $74,999",3,3,2
44,"Rural","Female",66124,"$50,000 to $74,999",1,3,2
54,"Urban","Female",70444,"$50,000 to $74,999",2,2,1
61,"Urban","Male",67380,"$50,000 to $74,999",1,1,3
41,"Urban","Female",62367,"$50,000 to $74,999",3,2,2
32,"Urban","Male",68888,"$50,000 to $74,999",3,1,4
69,"Urban","Male",74072,"$50,000 to $74,999",1,1,1
66,"Suburban","Female",66420,"$50,000 to $74,999",2,4,3
69,"Urban","Female",66382,"$50,000 to $74,999",2,2,1
56,"Urban","Female",71626,"$50,000 to $74,999",2,2,1
19,"Urban","Male",65114,"$50,000 to $74,999",3,1,4
20,"Urban","Female",73568,"$50,000 to $74,999",3,2,2
66,"Urban","Male",65804,"$50,000 to $74,999",1,1,3
54,"Urban","Female",74500,"$50,000 to $74,999",2,2,1
66,"Suburban","Male",73370,"$50,000 to $74,999",1,4,1
66,"Urban","Female",73038,"$50,000 to $74,999",2,2,1
19,"Urban","Female",65250,"$50,000 to $74,999",3,2,2
45,"Urban","Male",67264,"$50,000 to $74,999",1,1,4
40,"Urban","Female",69482,"$50,000 to $74,999",3,2,2
54,"Urban","Male",73858,"$50,000 to $74,999",1,1,1
18,"Urban","Female",72528,"$50,000 to $74,999",3,2,2
19,"Urban","Male",71028,"$50,000 to $74,999",3,1,4
70,"Urban","Male",71208,"$50,000 to $74,999",1,1,1
61,"Rural","Male",71800,"$50,000 to $74,999",1,3,1
49,"Urban","Female",68608,"$50,000 to $74,999",3,2,1
21,"Urban","Female",72812,"$50,000 to $74,999",3,2,2
28,"Rural","Male",74746,"$50,000 to $74,999",1,3,2
34,"Urban","Male",65036,"$50,000 to $74,999",3,1,4
55,"Urban","Female",74706,"$50,000 to $74,999",2,2,1
69,"Urban","Female",69012,"$50,000 to $74,999",2,2,1
23,"Urban","Female",65128,"$50,000 to $74,999",3,2,2
28,"Suburban","Female",68770,"$50,000 to $74,999",3,4,2
65,"Urban","Male",66868,"$50,000 to $74,999",1,1,3
33,"Urban","Female",66600,"$50,000 to $74,999",3,2,2
50,"Urban","Female",69910,"$50,000 to $74,999",3,2,1
26,"Urban","Male",66516,"$50,000 to $74,999",3,1,4
23,"Urban","Male",70090,"$50,000 to $74,999",3,1,4
33,"Suburban","Female",73576,"$50,000 to $74,999",3,4,2
46,"Urban","Male",64964,"$50,000 to $74,999",1,1,4
37,"Rural","Female",69164,"$50,000 to $74,999",3,3,2
53,"Urban","Female",70450,"$50,000 to $74,999",2,2,1
36,"Suburban","Male",74906,"$50,000 to $74,999",3,4,2
43,"Urban","Female",73946,"$50,000 to $74,999",3,2,1
20,"Urban","Female",73820,"$50,000 to $74,999",3,2,2
37,"Suburban","Female",66282,"$50,000 to $74,999",3,4,2
24,"Urban","Male",68860,"$50,000 to $74,999",3,1,4
69,"Urban","Male",65288,"$50,000 to $74,999",1,1,3
50,"Rural","Male",65708,"$50,000 to $74,999",1,3,3
57,"Urban","Female",65766,"$50,000 to $74,999",2,2,1
35,"Suburban","Male",65822,"$50,000 to $74,999",3,4,2
57,"Suburban","Male",58154,"$50,000 to $74,999",4,2,3
18,"Urban","Male",71792,"$50,000 to $74,999",3,1,4
45,"Urban","Female",50966,"$50,000 to $74,999",4,2,3
42,"Suburban","Female",74538,"$50,000 to $74,999",3,4,2
67,"Urban","Female",70206,"$50,000 to $74,999",2,2,1
48,"Urban","Female",66452,"$50,000 to $74,999",3,2,1
59,"Urban","Female",69790,"$50,000 to $74,999",2,2,1
24,"Suburban","Female",65184,"$50,000 to $74,999",3,4,2
43,"Urban","Female",68914,"$50,000 to $74,999",3,2,1
65,"Urban","Male",72136,"$50,000 to $74,999",1,1,1
69,"Urban","Male",71444,"$50,000 to $74,999",1,1,1
19,"Urban","Female",73748,"$50,000 to $74,999",3,2,2
65,"Urban","Female",68060,"$50,000 to $74,999",2,2,1
54,"Urban","Female",73098,"$50,000 to $74,999",2,2,1
58,"Urban","Female",74676,"$50,000 to $74,999",2,2,1
52,"Urban","Male",69756,"$50,000 to $74,999",1,1,1
36,"Urban","Male",67236,"$50,000 to $74,999",3,1,4
65,"Urban","Female",68754,"$50,000 to $74,999",2,2,1
37,"Urban","Female",70778,"$50,000 to $74,999",3,2,2
41,"Urban","Female",65736,"$50,000 to $74,999",3,2,2
41,"Urban","Male",71478,"$50,000 to $74,999",1,1,4
69,"Urban","Female",66494,"$50,000 to $74,999",2,2,1
28,"Suburban","Male",67960,"$50,000 to $74,999",3,4,2
66,"Rural","Male",72844,"$50,000 to $74,999",1,3,1
57,"Urban","Male",67326,"$50,000 to $74,999",1,1,3
37,"Urban","Male",68582,"$50,000 to $74,999",3,1,4
52,"Urban","Female",73552,"$50,000 to $74,999",2,2,1
65,"Suburban","Female",71192,"$50,000 to $74,999",2,4,3
35,"Urban","Female",74836,"$50,000 to $74,999",3,2,1
63,"Urban","Female",69946,"$50,000 to $74,999",2,2,1
19,"Urban","Male",69554,"$50,000 to $74,999",3,1,4
52,"Urban","Female",66282,"$50,000 to $74,999",3,2,1
31,"Urban","Female",65910,"$50,000 to $74,999",3,2,2
37,"Suburban","Male",65544,"$50,000 to $74,999",3,4,2
24,"Rural","Female",66970,"$50,000 to $74,999",3,3,2
20,"Urban","Female",74584,"$50,000 to $74,999",3,2,2
34,"Urban","Male",71076,"$50,000 to $74,999",1,1,4
50,"Urban","Female",74302,"$50,000 to $74,999",2,2,1
29,"Urban","Female",69444,"$50,000 to $74,999",3,2,2
55,"Rural","Female",66776,"$50,000 to $74,999",1,3,3
25,"Urban","Male",69116,"$50,000 to $74,999",3,1,4
44,"Suburban","Male",59242,"$50,000 to $74,999",4,2,3
51,"Urban","Male",65782,"$50,000 to $74,999",1,1,3
38,"Suburban","Male",68102,"$50,000 to $74,999",1,4,2
47,"Suburban","Male",70618,"$50,000 to $74,999",1,4,1
50,"Urban","Female",68002,"$50,000 to $74,999",3,2,1
45,"Urban","Female",68984,"$50,000 to $74,999",3,2,1
22,"Urban","Female",72492,"$50,000 to $74,999",3,2,2
21,"Urban","Female",72356,"$50,000 to $74,999",3,2,2
52,"Suburban","Female",74404,"$50,000 to $74,999",2,4,1
66,"Suburban","Female",66020,"$50,000 to $74,999",2,4,3
34,"Suburban","Female",74066,"$50,000 to $74,999",3,4,2
61,"Urban","Female",70822,"$50,000 to $74,999",2,2,1
45,"Urban","Male",68752,"$50,000 to $74,999",3,1,4
47,"Urban","Female",66010,"$50,000 to $74,999",3,2,1
46,"Urban","Female",72678,"$50,000 to $74,999",2,2,1
63,"Urban","Female",69186,"$50,000 to $74,999",2,2,1
70,"Urban","Male",68940,"$50,000 to $74,999",1,1,1
52,"Urban","Female",68968,"$50,000 to $74,999",3,2,1
58,"Urban","Female",69374,"$50,000 to $74,999",3,2,1
63,"Rural","Male",68144,"$50,000 to $74,999",1,3,3
50,"Urban","Male",68108,"$50,000 to $74,999",1,1,1
38,"Urban","Male",67886,"$50,000 to $74,999",3,1,4
49,"Urban","Female",65588,"$50,000 to $74,999",3,2,1
40,"Urban","Female",67420,"$50,000 to $74,999",3,2,2
35,"Urban","Female",70094,"$50,000 to $74,999",3,2,2
20,"Urban","Female",66266,"$50,000 to $74,999",3,2,2
57,"Suburban","Male",73716,"$50,000 to $74,999",1,4,1
63,"Urban","Female",65108,"$50,000 to $74,999",2,2,1
41,"Urban","Female",71940,"$50,000 to $74,999",3,2,1
67,"Urban","Male",72684,"$50,000 to $74,999",1,1,1
49,"Suburban","Male",67978,"$50,000 to $74,999",1,4,3
64,"Urban","Female",67578,"$50,000 to $74,999",2,2,1
39,"Suburban","Female",72694,"$50,000 to $74,999",3,4,2
40,"Urban","Female",72422,"$50,000 to $74,999",3,2,2
59,"Urban","Male",70208,"$50,000 to $74,999",1,1,1
19,"Urban","Female",65090,"$50,000 to $74,999",3,2,2
43,"Urban","Female",70148,"$50,000 to $74,999",3,2,1
57,"Urban","Male",70734,"$50,000 to $74,999",1,1,1
60,"Urban","Female",70914,"$50,000 to $74,999",2,2,1
65,"Urban","Female",71622,"$50,000 to $74,999",2,2,1
56,"Urban","Male",70644,"$50,000 to $74,999",1,1,1
43,"Urban","Male",68376,"$50,000 to $74,999",3,1,4
67,"Urban","Female",74106,"$50,000 to $74,999",2,2,1
42,"Rural","Female",66726,"$50,000 to $74,999",1,3,2
41,"Urban","Female",70402,"$50,000 to $74,999",3,2,2
30,"Urban","Female",69972,"$50,000 to $74,999",3,2,2
62,"Urban","Male",74830,"$50,000 to $74,999",1,1,1
37,"Urban","Male",74898,"$50,000 to $74,999",3,1,4
18,"Urban","Female",74538,"$50,000 to $74,999",3,2,2
25,"Rural","Male",67276,"$50,000 to $74,999",3,3,2
33,"Urban","Male",70712,"$50,000 to $74,999",1,1,4
31,"Suburban","Female",67356,"$50,000 to $74,999",3,4,2
68,"Suburban","Female",66350,"$50,000 to $74,999",2,4,3
45,"Urban","Male",66772,"$50,000 to $74,999",1,1,4
51,"Urban","Male",66310,"$50,000 to $74,999",1,1,3
19,"Suburban","Female",69952,"$50,000 to $74,999",3,4,2
40,"Rural","Male",67370,"$50,000 to $74,999",3,3,2
39,"Urban","Male",71170,"$50,000 to $74,999",1,1,4
68,"Urban","Male",65068,"$50,000 to $74,999",1,1,3
39,"Urban","Female",65980,"$50,000 to $74,999",3,2,2
39,"Urban","Female",72638,"$50,000 to $74,999",3,2,2
59,"Urban","Male",66410,"$50,000 to $74,999",1,1,3
23,"Urban","Male",66612,"$50,000 to $74,999",3,1,4
32,"Suburban","Male",70596,"$50,000 to $74,999",3,4,2
50,"Urban","Male",68558,"$50,000 to $74,999",1,1,1
25,"Urban","Male",68535,"$50,000 to $74,999",3,1,4
70,"Urban","Female",69980,"$50,000 to $74,999",2,2,1
61,"Suburban","Female",57289,"$50,000 to $74,999",4,2,3
61,"Urban","Female",70106,"$50,000 to $74,999",2,2,1
21,"Urban","Male",66920,"$50,000 to $74,999",3,1,4
69,"Urban","Female",70856,"$50,000 to $74,999",2,2,1
47,"Suburban","Male",72462,"$50,000 to $74,999",1,4,1
64,"Urban","Male",69794,"$50,000 to $74,999",1,1,1
52,"Urban","Male",65018,"$50,000 to $74,999",1,1,3
57,"Urban","Female",74586,"$50,000 to $74,999",2,2,1
33,"Urban","Female",70208,"$50,000 to $74,999",3,2,2
30,"Rural","Female",54038,"$50,000 to $74,999",4,2,3
67,"Urban","Male",73316,"$50,000 to $74,999",1,1,1
47,"Urban","Female",68672,"$50,000 to $74,999",3,2,1
36,"Urban","Female",73228,"$50,000 to $74,999",3,2,2
36,"Urban","Male",65084,"$50,000 to $74,999",3,1,4
45,"Urban","Female",68156,"$50,000 to $74,999",3,2,1
54,"Suburban","Male",71468,"$50,000 to $74,999",1,4,1
43,"Rural","Male",68630,"$50,000 to $74,999",1,3,1
40,"Suburban","Female",68766,"$50,000 to $74,999",3,4,2
26,"Urban","Female",66584,"$50,000 to $74,999",3,2,2
70,"Rural","Female",64996,"$50,000 to $74,999",1,3,3
18,"Suburban","Male",70060,"$50,000 to $74,999",3,4,2
64,"Urban","Female",66686,"$50,000 to $74,999",2,2,1
65,"Suburban","Male",72436,"$50,000 to $74,999",1,4,1
42,"Urban","Female",73482,"$50,000 to $74,999",3,2,1
62,"Urban","Male",71612,"$50,000 to $74,999",1,1,1
70,"Urban","Female",73320,"$50,000 to $74,999",2,2,1
18,"Urban","Female",67148,"$50,000 to $74,999",3,2,2
56,"Suburban","Female",66684,"$50,000 to $74,999",2,4,3
22,"Suburban","Female",68518,"$50,000 to $74,999",3,4,2
39,"Rural","Female",69896,"$50,000 to $74,999",3,3,2
46,"Suburban","Female",74678,"$50,000 to $74,999",2,4,1
20,"Rural","Female",63816,"$50,000 to $74,999",3,3,2
29,"Urban","Female",69104,"$50,000 to $74,999",3,2,2
33,"Rural","Male",68110,"$50,000 to $74,999",3,3,2
68,"Urban","Male",67804,"$50,000 to $74,999",1,1,1
54,"Suburban","Female",66730,"$50,000 to $74,999",2,4,3
39,"Urban","Female",65330,"$50,000 to $74,999",3,2,2
31,"Urban","Male",73196,"$50,000 to $74,999",3,1,4
45,"Urban","Male",64986,"$50,000 to $74,999",1,1,4
64,"Urban","Male",68298,"$50,000 to $74,999",1,1,1
47,"Urban","Male",67190,"$50,000 to $74,999",1,1,4
69,"Urban","Male",73928,"$50,000 to $74,999",1,1,1
33,"Urban","Female",71140,"$50,000 to $74,999",3,2,2
65,"Urban","Female",73084,"$50,000 to $74,999",2,2,1
56,"Urban","Female",66018,"$50,000 to $74,999",2,2,1
53,"Urban","Female",74826,"$50,000 to $74,999",2,2,1
50,"Suburban","Male",66846,"$50,000 to $74,999",1,4,3
47,"Urban","Female",69132,"$50,000 to $74,999",3,2,1
54,"Urban","Female",72978,"$50,000 to $74,999",2,2,1
22,"Suburban","Male",67254,"$50,000 to $74,999",3,4,2
51,"Rural","Male",69044,"$50,000 to $74,999",1,3,1
48,"Suburban","Female",66878,"$50,000 to $74,999",3,4,3
36,"Urban","Female",67064,"$50,000 to $74,999",3,2,2
49,"Urban","Male",71464,"$50,000 to $74,999",1,1,1
18,"Urban","Male",65586,"$50,000 to $74,999",3,1,4
62,"Urban","Female",67696,"$50,000 to $74,999",2,2,1
21,"Rural","Female",66478,"$50,000 to $74,999",3,3,2
33,"Urban","Female",66548,"$50,000 to $74,999",3,2,2
41,"Urban","Male",68902,"$50,000 to $74,999",3,1,4
19,"Urban","Female",65018,"$50,000 to $74,999",3,2,2
66,"Urban","Female",66822,"$50,000 to $74,999",2,2,1
49,"Suburban","Male",66440,"$50,000 to $74,999",1,4,3
37,"Urban","Female",65528,"$50,000 to $74,999",3,2,2
67,"Urban","Female",70388,"$50,000 to $74,999",2,2,1
52,"Suburban","Female",62559,"$50,000 to $74,999",3,4,3
50,"Urban","Male",67924,"$50,000 to $74,999",1,1,1
68,"Urban","Female",73768,"$50,000 to $74,999",2,2,1
60,"Urban","Female",65972,"$50,000 to $74,999",2,2,1
54,"Rural","Male",68376,"$50,000 to $74,999",1,3,3
20,"Urban","Female",68274,"$50,000 to $74,999",3,2,2
18,"Urban","Female",66600,"$50,000 to $74,999",3,2,2
27,"Urban","Female",66450,"$50,000 to $74,999",3,2,2
60,"Urban","Male",67218,"$50,000 to $74,999",1,1,3
61,"Suburban","Male",70214,"$50,000 to $74,999",1,4,3
30,"Urban","Male",73848,"$50,000 to $74,999",3,1,4
63,"Urban","Female",69868,"$50,000 to $74,999",2,2,1
52,"Suburban","Male",74294,"$50,000 to $74,999",1,4,1
34,"Urban","Male",74560,"$50,000 to $74,999",3,1,4
43,"Urban","Male",67902,"$50,000 to $74,999",3,1,4
25,"Urban","Female",69962,"$50,000 to $74,999",3,2,2
46,"Urban","Female",67130,"$50,000 to $74,999",3,2,1
43,"Urban","Female",72278,"$50,000 to $74,999",3,2,1
27,"Rural","Female",70130,"$50,000 to $74,999",3,3,2
51,"Rural","Male",65326,"$50,000 to $74,999",1,3,3
68,"Urban","Female",74294,"$50,000 to $74,999",2,2,1
53,"Urban","Female",68502,"$50,000 to $74,999",3,2,1
42,"Urban","Male",69716,"$50,000 to $74,999",1,1,4
27,"Urban","Male",71978,"$50,000 to $74,999",3,1,4
54,"Suburban","Female",70516,"$50,000 to $74,999",2,4,3
41,"Urban","Male",66950,"$50,000 to $74,999",3,1,4
52,"Urban","Male",65502,"$50,000 to $74,999",1,1,3
66,"Urban","Male",66580,"$50,000 to $74,999",1,1,3
52,"Suburban","Male",66760,"$50,000 to $74,999",1,4,3
65,"Urban","Female",66818,"$50,000 to $74,999",2,2,1
53,"Urban","Male",66784,"$50,000 to $74,999",1,1,3
66,"Suburban","Male",71568,"$50,000 to $74,999",1,4,1
41,"Suburban","Female",70458,"$50,000 to $74,999",3,4,2
40,"Suburban","Female",68738,"$50,000 to $74,999",3,4,2
29,"Urban","Female",67200,"$50,000 to $74,999",3,2,2
40,"Urban","Male",68758,"$50,000 to $74,999",3,1,4
42,"Urban","Male",68596,"$50,000 to $74,999",3,1,4
66,"Urban","Female",71942,"$50,000 to $74,999",2,2,1
37,"Urban","Female",68864,"$50,000 to $74,999",3,2,2
65,"Urban","Female",74898,"$50,000 to $74,999",2,2,1
39,"Rural","Female",72104,"$50,000 to $74,999",3,3,2
30,"Rural","Male",67594,"$50,000 to $74,999",3,3,2
66,"Suburban","Female",65020,"$50,000 to $74,999",2,4,3
58,"Urban","Male",73230,"$50,000 to $74,999",1,1,1
36,"Urban","Female",72978,"$50,000 to $74,999",3,2,2
29,"Urban","Male",68700,"$50,000 to $74,999",3,1,4
31,"Urban","Male",65314,"$50,000 to $74,999",3,1,4
48,"Urban","Female",65040,"$50,000 to $74,999",3,2,1
69,"Urban","Female",74884,"$50,000 to $74,999",2,2,1
36,"Rural","Male",68110,"$50,000 to $74,999",3,3,2
64,"Urban","Male",68878,"$50,000 to $74,999",1,1,1
33,"Urban","Male",74884,"$50,000 to $74,999",3,1,4
29,"Urban","Male",61068,"$50,000 to $74,999",4,1,3
42,"Suburban","Female",74356,"$50,000 to $74,999",3,4,2
70,"Urban","Male",73066,"$50,000 to $74,999",1,1,1
40,"Urban","Female",67216,"$50,000 to $74,999",3,2,2
33,"Suburban","Female",73748,"$50,000 to $74,999",3,4,2
62,"Rural","Male",70900,"$50,000 to $74,999",1,3,1
59,"Urban","Male",74470,"$50,000 to $74,999",1,1,1
56,"Urban","Female",70462,"$50,000 to $74,999",2,2,1
52,"Urban","Male",70764,"$50,000 to $74,999",1,1,1
40,"Suburban","Male",73216,"$50,000 to $74,999",3,4,2
60,"Urban","Male",70974,"$50,000 to $74,999",1,1,1
61,"Urban","Female",69296,"$50,000 to $74,999",2,2,1
30,"Urban","Female",73332,"$50,000 to $74,999",3,2,2
19,"Urban","Male",72936,"$50,000 to $74,999",3,1,4
46,"Urban","Female",67702,"$50,000 to $74,999",3,2,2
54,"Urban","Male",65850,"$50,000 to $74,999",1,1,3
65,"Rural","Male",73068,"$50,000 to $74,999",1,3,1
39,"Suburban","Female",73926,"$50,000 to $74,999",3,4,2
69,"Urban","Female",69508,"$50,000 to $74,999",2,2,1
24,"Urban","Male",71312,"$50,000 to $74,999",3,1,4
62,"Urban","Male",63583,"$50,000 to $74,999",1,1,3
23,"Urban","Female",71588,"$50,000 to $74,999",3,2,2
48,"Urban","Female",65062,"$50,000 to $74,999",3,2,1
61,"Suburban","Male",66416,"$50,000 to $74,999",1,4,3
43,"Urban","Male",72382,"$50,000 to $74,999",1,1,4
36,"Rural","Male",70312,"$50,000 to $74,999",3,3,2
20,"Urban","Female",67062,"$50,000 to $74,999",3,2,2
62,"Urban","Female",70776,"$50,000 to $74,999",2,2,1
30,"Urban","Male",73808,"$50,000 to $74,999",3,1,4
45,"Urban","Female",70834,"$50,000 to $74,999",3,2,1
37,"Urban","Female",73682,"$50,000 to $74,999",3,2,1
45,"Urban","Female",67038,"$50,000 to $74,999",3,2,1
25,"Suburban","Male",72748,"$50,000 to $74,999",3,4,2
56,"Urban","Male",74916,"$50,000 to $74,999",1,1,1
18,"Urban","Female",71036,"$50,000 to $74,999",3,2,2
20,"Rural","Female",64926,"$50,000 to $74,999",3,3,2
30,"Urban","Female",67234,"$50,000 to $74,999",3,2,2
45,"Urban","Male",74496,"$50,000 to $74,999",1,1,4
66,"Urban","Male",69718,"$50,000 to $74,999",1,1,1
50,"Urban","Female",70312,"$50,000 to $74,999",3,2,1
55,"Urban","Female",74062,"$50,000 to $74,999",2,2,1
70,"Urban","Male",74500,"$50,000 to $74,999",1,1,1
23,"Urban","Male",66186,"$50,000 to $74,999",3,1,4
61,"Urban","Male",70400,"$50,000 to $74,999",1,1,1
62,"Urban","Male",74698,"$50,000 to $74,999",1,1,1
49,"Urban","Male",66384,"$50,000 to $74,999",1,1,4
64,"Urban","Female",67726,"$50,000 to $74,999",2,2,1
33,"Suburban","Female",70986,"$50,000 to $74,999",3,4,2
38,"Urban","Male",73856,"$50,000 to $74,999",3,1,4
28,"Urban","Female",70198,"$50,000 to $74,999",3,2,2
